Cohort,Group,Unnamed: 0,Mean_Introversion,Mean_Extroversion
2019,1,4.0,15.88888888888889,18.22222222222222
2019,2,12.5,18.375,16.375
2019,3,20.5,18.75,15.5
2019,4,29.0,16.0,18.88888888888889
2019,5,38.0,17.22222222222222,17.333333333333332
2019,6,47.0,16.444444444444443,17.77777777777778
2019,7,56.0,13.666666666666666,21.444444444444443
2019,8,65.0,16.555555555555557,18.555555555555557
2019,9,74.0,16.11111111111111,18.666666666666668
2019,10,82.5,17.625,16.75
2019,11,91.0,16.555555555555557,18.11111111111111
2019,12,100.0,21.77777777777778,13.222222222222221
2019,13,109.0,19.555555555555557,14.777777777777779
2019,14,118.0,15.555555555555555,18.555555555555557
2019,15,126.5,19.5,14.75
2019,16,135.0,16.333333333333332,18.333333333333332
2019,17,143.5,18.0,16.75
2019,18,151.5,15.625,19.5
2019,19,159.0,17.571428571428573,17.142857142857142
2019,20,167.0,15.88888888888889,18.88888888888889
2019,21,176.0,17.22222222222222,17.88888888888889
2019,22,185.5,16.7,18.4
2019,23,195.5,18.5,15.8
2019,24,205.0,17.333333333333332,17.555555555555557
2019,25,214.0,17.0,18.11111111111111
2019,26,222.5,13.375,21.625
2020,1,231.0,20.77777777777778,14.444444444444445
2020,2,240.0,17.88888888888889,16.555555555555557
2020,3,249.0,16.444444444444443,18.22222222222222
2020,4,258.0,20.333333333333332,14.666666666666666
2020,5,267.0,22.22222222222222,12.88888888888889
2020,6,276.0,19.0,15.88888888888889
2020,7,285.0,17.88888888888889,17.11111111111111
2020,8,294.0,18.333333333333332,16.77777777777778
2020,9,303.0,16.333333333333332,18.0
2020,10,312.0,18.0,16.555555555555557
2020,11,320.5,22.25,13.25
2020,12,328.5,18.0,16.375
2020,13,336.0,16.142857142857142,19.0
2020,14,344.0,17.0,17.666666666666668
2020,15,353.0,22.444444444444443,12.777777777777779
2020,16,362.0,18.88888888888889,16.333333333333332
2020,17,370.5,15.875,18.875
2020,18,379.0,17.22222222222222,17.555555555555557
2020,19,388.0,19.333333333333332,15.444444444444445
2020,20,397.0,17.444444444444443,17.333333333333332
2020,21,406.0,13.666666666666666,21.0
2020,22,415.0,13.88888888888889,20.444444444444443
2020,23,424.5,18.7,16.2
2020,24,434.0,15.777777777777779,18.77777777777778
2020,25,443.0,17.22222222222222,17.77777777777778
2021,1,451.0,15.714285714285714,19.285714285714285
2021,2,457.5,16.333333333333332,18.833333333333332
2021,3,464.0,13.428571428571429,22.285714285714285
2021,4,470.5,12.666666666666666,21.5
2021,5,477.0,21.857142857142858,12.142857142857142
2021,6,484.0,18.285714285714285,16.0
2021,7,490.5,14.5,20.5
2021,8,496.0,12.4,23.0
2021,9,502.0,19.142857142857142,15.571428571428571
2021,10,509.0,17.142857142857142,17.571428571428573
2021,11,516.0,15.0,19.571428571428573
2021,12,523.0,16.0,18.857142857142858
2021,13,529.5,19.833333333333332,14.666666666666666
2021,14,535.0,20.0,14.8
2021,15,540.5,13.0,22.166666666666668
2021,16,547.0,17.571428571428573,16.857142857142858
2021,17,554.0,17.0,17.714285714285715
2021,18,560.5,15.833333333333334,19.0
2021,19,567.0,15.857142857142858,18.428571428571427
2021,20,574.0,12.428571428571429,22.857142857142858
2021,21,580.5,21.833333333333332,12.833333333333334
2021,22,587.0,18.428571428571427,16.857142857142858
2021,23,594.0,18.428571428571427,16.0
2021,24,601.0,19.428571428571427,16.0
2021,25,608.0,12.285714285714286,22.571428571428573
